epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,538.025,0.63928,0.779,1.06689,0.44313,0.10417,0.12631,0.09881,1.75611,5.26964,2.06764,0.000381336,0.000381336,0.000381336
68,546.788,0.60594,0.73781,0.95189,0.44313,0.10417,0.12631,0.09881,1.75611,5.26964,2.06764,0.000376057,0.000376057,0.000376057
69,556.38,0.6735,0.59287,0.95056,0.51081,0.10417,0.10548,0.07499,1.73093,4.54508,2.02038,0.000370447,0.000370447,0.000370447
70,564.657,0.55176,0.62496,0.99177,0.51081,0.10417,0.10548,0.07499,1.73093,4.54508,2.02038,0.000364508,0.000364508,0.000364508
71,572.708,0.54118,0.58771,0.92713,0.51081,0.10417,0.10548,0.07499,1.73093,4.54508,2.02038,0.000358238,0.000358238,0.000358238
72,581.133,0.47754,0.59577,0.89501,0.32604,0.10417,0.09534,0.06451,1.66598,4.34274,1.71894,0.000351639,0.000351639,0.000351639
73,589.313,0.44635,0.50299,0.88027,0.32604,0.10417,0.09534,0.06451,1.66598,4.34274,1.71894,0.000344709,0.000344709,0.000344709
74,597.451,0.52279,0.51098,0.91885,0.32604,0.10417,0.09534,0.06451,1.66598,4.34274,1.71894,0.000337449,0.000337449,0.000337449
75,605.844,0.66229,0.75916,1.10485,0.37967,0.10417,0.12753,0.08803,1.74001,3.87887,1.66719,0.000329859,0.000329859,0.000329859
76,614.311,0.595,0.89057,0.99318,0.37967,0.10417,0.12753,0.08803,1.74001,3.87887,1.66719,0.000321939,0.000321939,0.000321939
77,622.713,0.50858,0.47843,0.93335,0.37967,0.10417,0.12753,0.08803,1.74001,3.87887,1.66719,0.000313689,0.000313689,0.000313689
78,630.385,0.56262,0.69561,0.95468,0.31262,0.10417,0.10145,0.06617,1.83271,4.44138,1.7763,0.000305109,0.000305109,0.000305109
79,639.163,0.64289,0.6312,0.98454,0.31262,0.10417,0.10145,0.06617,1.83271,4.44138,1.7763,0.000296199,0.000296199,0.000296199
80,647.417,0.66155,0.59831,0.99024,0.31262,0.10417,0.10145,0.06617,1.83271,4.44138,1.7763,0.000286959,0.000286959,0.000286959
81,655.814,0.5428,0.54719,0.9793,0.24107,0.10417,0.06249,0.04551,1.80801,5.20728,1.6522,0.000277389,0.000277389,0.000277389
82,663.909,0.45131,0.48771,0.86937,0.24107,0.10417,0.06249,0.04551,1.80801,5.20728,1.6522,0.000267488,0.000267488,0.000267488
83,671.637,0.45825,0.46751,0.88413,0.24107,0.10417,0.06249,0.04551,1.80801,5.20728,1.6522,0.000257258,0.000257258,0.000257258
84,680.444,0.58504,0.69197,1.04135,0.11325,0.10417,0.05205,0.0415,1.63779,5.33718,1.53575,0.000246698,0.000246698,0.000246698
85,688.592,0.52993,0.51983,0.96218,0.11325,0.10417,0.05205,0.0415,1.63779,5.33718,1.53575,0.000235807,0.000235807,0.000235807
86,696.881,0.47,0.49957,0.92235,0.11325,0.10417,0.05205,0.0415,1.63779,5.33718,1.53575,0.000224587,0.000224587,0.000224587
87,705.003,0.44696,0.49388,0.89835,0.11325,0.10417,0.05205,0.0415,1.63779,5.33718,1.53575,0.000213036,0.000213036,0.000213036
88,713.179,0.49772,0.51105,0.86472,0.09797,0.10417,0.04845,0.03903,1.57589,5.05579,1.49404,0.000201155,0.000201155,0.000201155
89,721.595,0.54691,0.5337,0.96436,0.09797,0.10417,0.04845,0.03903,1.57589,5.05579,1.49404,0.000188944,0.000188944,0.000188944
90,729.332,0.64183,0.65163,1.08067,0.09797,0.10417,0.04845,0.03903,1.57589,5.05579,1.49404,0.000176404,0.000176404,0.000176404
91,736.914,0.51726,0.63596,0.92143,0.09797,0.10417,0.04845,0.03903,1.57589,5.05579,1.49404,0.000163533,0.000163533,0.000163533
92,744.829,0.40444,0.5046,0.90772,0.12363,0.10417,0.05399,0.04235,1.45302,4.43225,1.41533,0.000150332,0.000150332,0.000150332
93,752.748,0.39879,0.50959,0.96501,0.12363,0.10417,0.05399,0.04235,1.45302,4.43225,1.41533,0.000136801,0.000136801,0.000136801
94,760.993,0.49521,0.60692,0.98335,0.12363,0.10417,0.05399,0.04235,1.45302,4.43225,1.41533,0.00012294,0.00012294,0.00012294
95,769.026,0.55949,0.57202,0.88445,0.12363,0.10417,0.05399,0.04235,1.45302,4.43225,1.41533,0.000108748,0.000108748,0.000108748
96,776.868,0.42955,0.49957,0.87337,0.2629,0.10417,0.06213,0.05435,1.41937,4.05095,1.37706,9.42272e-05,9.42272e-05,9.42272e-05
97,785.3,0.49951,0.49852,0.87111,0.2629,0.10417,0.06213,0.05435,1.41937,4.05095,1.37706,7.93759e-05,7.93759e-05,7.93759e-05
98,794.059,0.45475,0.49742,0.90361,0.2629,0.10417,0.06213,0.05435,1.41937,4.05095,1.37706,6.41945e-05,6.41945e-05,6.41945e-05
99,802.016,0.4947,0.49312,0.82393,0.2629,0.10417,0.06213,0.05435,1.41937,4.05095,1.37706,4.86831e-05,4.86831e-05,4.86831e-05
100,810.036,0.40007,0.50484,0.90278,0.25462,0.10417,0.06601,0.05793,1.37313,3.89791,1.34675,3.28416e-05,3.28416e-05,3.28416e-05
